NOM;envoutil_id;envversion_id;bien_id;application_id;lot_id;Environnement
CDC 6.5.0 InterimFix27;CDC;6.5.0 InterimFix27;X64LMWBIGQB;GMAO MR;303;MAB
CDC 6.5.0 InterimFix27;CDC;6.5.0 InterimFix27;X64LMWBIGQD;GMAO MR;303;PROD
Oracle 11.2.0.3.4 StandAlone;Oracle;11.2.0.3.4 StandAlone;X64LMWBIG98;GMAO MR;310;DEV3,DEV18,DEV19,DEV20
Oracle 11.1.0.7.5 StandAlone;Oracle;11.1.0.7.5 StandAlone;X64LMWBIDA6;GMAO MR;303;LAB2,LAB3
Oracle 11.2.0.2.0 StandAlone;Oracle;11.2.0.2.0 StandAlone;X64LMWBIEDJ;GMAO MR;303;DEV10,DEV11,DEV13,DEV14
Oracle 11.2.0.2.0 StandAlone;Oracle;11.2.0.2.0 StandAlone;X64LMWBIEDK;GMAO MR;303;DEV15,DEV16
Oracle 11.2.0.2.0 StandAlone;Oracle;11.2.0.2.0 StandAlone;X64LMWBIFGQ;GMAO MR;303;DEV1,DEV2,DEV4,DEV6,DEV8
Oracle 11.2.0.2.4 RAC;Oracle;11.2.0.2.4 RAC;X64LMWBIFH4;GMAO MR;310;PERF
Oracle 11.2.0.2.4 RAC;Oracle;11.2.0.2.4 RAC;X64LMWBIFH5;GMAO MR;310;PERF
Oracle 11.2.0.2.0 StandAlone;Oracle;11.2.0.2.0 StandAlone;X64LMWBIFW7;GMAO MR;303;DEV17
Oracle 11.2.0.3.4 StandAlone;Oracle;11.2.0.3.4 StandAlone;X64LMWBIHFM;GMAO MR;310;DEV9,DEV25,DEV26,DEV27,DEV28
Oracle 11.2.0.2.3 StandAlone;Oracle;11.2.0.2.3 StandAlone;X64LMWBIGEQ;GMAO MR;303;REC1,REC2,REC4
Oracle 11.2.0.2.4 RAC;Oracle;11.2.0.2.4 RAC;X64LMWBIGER;GMAO MR;303;INT2
Oracle 11.2.0.2.4 RAC;Oracle;11.2.0.2.4 RAC;X64LMWBIGES;GMAO MR;303;INT2
Oracle 11.2.0.2.3 StandAlone;Oracle;11.2.0.2.3 StandAlone;X64LMWBIGF2;GMAO MR;303;FOR2,FOR4,FOR5
Oracle 11.2.0.2.4 StandAlone;Oracle;11.2.0.2.4 StandAlone;X64LMWBIGKC;GMAO MR;303;DEV24
Oracle 11.2.0.2.4 StandAlone;Oracle;11.2.0.2.4 StandAlone;X64LMWBIGKK;GMAO MR;303;REC6
Oracle 11.2.0.2.4 RAC;Oracle;11.2.0.2.4 RAC;X64LMWBIGQB;GMAO MR;303;MAB
Oracle 11.2.0.2.4 RAC;Oracle;11.2.0.2.4 RAC;X64LMWBIGQC;GMAO MR;303;MAB
Oracle 11.2.0.2.4 RAC;Oracle;11.2.0.2.4 RAC;X64LMWBIGQD;GMAO MR;303;PROD
Oracle 11.2.0.2.4 RAC;Oracle;11.2.0.2.4 RAC;X64LMWBIGQE;GMAO MR;303;PROD
Oracle 11.2.0.3.4 StandAlone;Oracle;11.2.0.3.4 StandAlone;X64LMWBIIHM;GMAO MR;310;REC10,REC11,REC12
Oracle 11.2.0.3.4 StandAlone;Oracle;11.2.0.3.4 StandAlone;X64LMWBIHSQ;GMAO MR;310;DEV5
