application_id;composant_id;Commentaire;perimetre_id;type_id;ENVIRONNEMENT;phase_id;USAGE;NOMUSAGE;lot_id;etat_id;DATELIVRAISON;volumetrie_id;Puissance;architecture_id;CONNECT;PVU;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RDD;DATASTAGE;;GROUPEMENT;Développement;DEV303;Réal RDD;DRDD;DRDD;310;Livré;15/07/2011;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COHERENCE;MDM;1 environnement pour 1 compagnies;MOA;Marche à blanc;COHMAB2;;MAB-302;MAB-302;302;Désactivé;01/09/2011;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GMAO MR;BSM;Business Service Management;DSI-T;Laboratoire;POCHP-BSM;;POCHP-BSM;POCHP-BSM;303;Désactivé;05/09/2011;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GMAO MR;RUM;Real User Monitor;DSI-T;Laboratoire;POCHP-RUMENGINE;;POCHP-RUMENGINE;POCHP-RUMENGINE;303;Désactivé;05/09/2011;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GMAO MR;RUM;Real User Monitor;DSI-T;Laboratoire;POCHP-RUMPROBE;;POCHP-RUMPROBE;POCHP-RUMPROBE;303;Désactivé;05/09/2011;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RDD;DATASTAGE;;GROUPEMENT;Fiabilisation;FIAB303;Fiabilasation;FIAB;FIAB;310;Livré;15/09/2011;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ORCHESTRAL;WPS/WTX;sur serveur virtuel;MOA;Recette;REC-MOA-MCO;;REC-MOA-MCO;REC-MOA-MCO;302;Désactivé;19/09/2011;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COHERENCE;MDM;1 environnement pour 1 compagnies;MOA;Recette;RECMOA303;Recette Monobrique 303;1BRIQUE;1BRIQUE;303;Livré;01/11/2011;ISO PROD;RECETTE;SIMPLIFIE;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RDD;DATASTAGE;;MOA;Recette;DS-SNCF;;REC303;REC303;303;Désactivé;05/11/2011;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RDD;DATASTAGE;;MOA;Marche à blanc;DS-SNCF;;MAB303;MAB;303;Désactivé;05/11/2011;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
